Date,AvgMilkPurchase,,,,,,,,,,,,,
Jul-17,3.01,,,,,,,,,,,,,
Aug-17,3.27,,,,,,,,,,,,,
Sep-17,3.28,,,,,,,,,,,,,
Oct-17,3.22,,,,,,,,,,,,,
Nov-17,3.08,,,,,,,,,,,,,
Dec-17,3.17,,,,,,,,,,,,,
Jan-18,3.39,,,,,,,,,,,,,
Feb-18,3.02,,,,,,,,,,,,,
Mar-18,2.99,,,,,,,,,,,,,
Apr-18,3.17,,,,,,,,,,,,,
May-18,3.29,,,,,,,,,,,,,
Jun-18,3.03,,,,,,,,,,,,,
Jul-18,3.14,,,,,,,,,,,,,
Aug-18,3.09,,,,,,,,,,,,,
Sep-18,3.26,,,,,,,,,,,,,
Oct-18,3.07,,,,,,,,,,,,,
Nov-18,2.98,,,,,,,,,,,,,
Dec-18,2.82,,,,,,,,,,,,,
Jan-19,3.06,,,,,,,,,,,,,
Feb-19,2.89,,,,,,,,,,,,,
Mar-19,2.68,,,,,,,,,,,,,
Apr-19,2.61,,,,,,,,,,,,,
May-19,2.67,,,,,,,,,,,,,
Jun-19,2.93,,,,,,,,,,,,,
Jul-19,2.45,,,,,,,,,,,,,
Aug-19,2.72,,,,,,,,,,,,,
Sep-19,2.67,,,,,,,,,,,,,
Oct-19,2.51,,,,,,,,,,,,,
Nov-19,2.99,,,,,,,,,,,,,
Dec-19,2.93,,,,,,,,,,,,,
Jan-20,3.01,,,,,,,,,,,,,
Feb-20,3.58,,,,,,,,,,,,,
Mar-20,3.94,,,,,,,,,,,,,
Apr-20,3.88,,,,,,,,,,,,,
May-20,3.98,,,,,,,,,,,,,
Jun-20,4.11,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
